CS Req Grade,7th CS Grade,7th CS Teacher,8th CS Grade,8th CS Teacher,PY Math Final Grade,PY Math Q4 Grade,PY Math Level,PY Math Teacher,PY Science Final Grade,PY Science Q4 Grade,PY Science Level,PY Science Teacher,PY Abs+Tardies,CY Math Q1 Grade,CY Math Level,CY Science Q1 Grade,CY Science Level,CY World Language,CY WL Level,CY Eng Level,LP Boolean,Birth Month,Number of Siblings
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C-,Accelerated,F,Accelerated,Spanish,Accelerated,Accelerated,Yes,8,0
IN PROGRESS,MISSING,MISSING,B+,22ac75bbab8b131e350cbb21a74a6237,A-,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,A-,Advanced,78e0349d12faea14b85cc1bdcfc72fff,64,B,Honors,B,AP,French,Honors,Honors,No,3,0
IN PROGRESS,A,fbd711bc8ff930ec8d6ec7a345bedb5a,A+,224e2d1eb3e0bf569281829a054b657a,A-,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,A+,Advanced,78e0349d12faea14b85cc1bdcfc72fff,9,A-,Honors,A,AP,Spanish,Honors,Honors,No,2,0
IN PROGRESS,B+,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,B-,B,Honors,ce504109647211cf2e3d4f19bbbbac6b,B-,B-,Honors,e42192248e9b180c137d77a5ad1265d0,4,A-,Honors,A-,Honors,Spanish,Honors,Honors,No,1,1
IN PROGRESS,A+,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,A-,B+,Honors,ce504109647211cf2e3d4f19bbbbac6b,A-,Missing,Honors,9c6d591ad9e3f64dcf8ba9593231af05,49,A-,Honors,A-,Honors,Spanish,Honors,Honors,No,12,0
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B,CP,C,Accelerated,Spanish,Accelerated,Accelerated,No,8,0
IN PROGRESS,A-,fbd711bc8ff930ec8d6ec7a345bedb5a,A,224e2d1eb3e0bf569281829a054b657a,A-,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A-,A,Advanced,78e0349d12faea14b85cc1bdcfc72fff,6,B+,Honors,B-,Honors,Spanish,Honors,Honors,No,2,2
IN PROGRESS,A,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,A,A+,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,B,B,Honors,e42192248e9b180c137d77a5ad1265d0,22,A,Honors,B,Honors,French,Honors,Honors,No,11,0
IN PROGRESS,B+,05a6d59f91596c53dbadfc980e970b80,B,224e2d1eb3e0bf569281829a054b657a,B+,A-,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,B+,A-,Honors,9c6d591ad9e3f64dcf8ba9593231af05,12,B+,Accelerated,B+,Honors,Spanish,Accelerated,Accelerated,No,12,1
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C+,CP,C+,Accelerated,Spanish,CP,Accelerated,Yes,5,0
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,B+,B-,Accelerated,0d405f29f22aadb1d214566d75ede017,B+,B+,Accelerated,35f56104020eacfaf3a8e08f972767a4,6,B-,Accelerated,A,Accelerated,Spanish,Accelerated,Accelerated,No,2,0
IN PROGRESS,B,05a6d59f91596c53dbadfc980e970b80,A,224e2d1eb3e0bf569281829a054b657a,B-,B-,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,B+,B+,Accelerated,35f56104020eacfaf3a8e08f972767a4,3,A-,CP,B,Accelerated,Spanish,Accelerated,Honors,No,6,1
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A-,Accelerated,A,Accelerated,Spanish,Accelerated,Accelerated,No,12,0
IN PROGRESS,MISSING,MISSING,B+,224e2d1eb3e0bf569281829a054b657a,A-,A,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,B-,C+,Standard,914555dca72adc54144f3ca464553fe3,13,A-,Accelerated,A-,Accelerated,Spanish,Accelerated,Accelerated,No,2,0
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,A,A-,Accelerated,0d405f29f22aadb1d214566d75ede017,A,A,Accelerated,35f56104020eacfaf3a8e08f972767a4,9,A+,Accelerated,B+,Honors,French,Honors,Honors,No,3,0
IN PROGRESS,A+,fbd711bc8ff930ec8d6ec7a345bedb5a,B+,224e2d1eb3e0bf569281829a054b657a,B,B,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,B+,Advanced,78e0349d12faea14b85cc1bdcfc72fff,23,B+,Accelerated,B+,Accelerated,Spanish,Accelerated,Accelerated,Yes,10,0
IN PROGRESS,B-,fbd711bc8ff930ec8d6ec7a345bedb5a,A+,224e2d1eb3e0bf569281829a054b657a,B+,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A-,A,Advanced,78e0349d12faea14b85cc1bdcfc72fff,18,B+,Honors,B+,Honors,Spanish,Honors,Honors,No,4,1
IN PROGRESS,MISSING,MISSING,A+,224e2d1eb3e0bf569281829a054b657a,B,B+,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,B-,B-,Accelerated,35f56104020eacfaf3a8e08f972767a4,39,C-,Accelerated,C+,Accelerated,Spanish,Accelerated,Honors,No,3,0
IN PROGRESS,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A,CP,B,CP,Spanish,CP,CP,Yes,3,0
IN PROGRESS,MISSING,MISSING,B+,224e2d1eb3e0bf569281829a054b657a,A-,B+,Accelerated,0d405f29f22aadb1d214566d75ede017,A-,A-,Accelerated,35f56104020eacfaf3a8e08f972767a4,8,B-,Accelerated,A,Accelerated,French,Accelerated,Honors,No,12,0
