CS Req Grade,7th CS Grade,7th CS Teacher,8th CS Grade,8th CS Teacher,PY Math Final Grade,PY Math Q4 Grade,PY Math Level,PY Math Teacher,PY Science Final Grade,PY Science Q4 Grade,PY Science Level,PY Science Teacher,PY Abs+Tardies,CY Math Q1 Grade,CY Math Level,CY Science Q1 Grade,CY Science Level,CY World Language,CY WL Level,CY Eng Level,LP Boolean,Birth Month,Number of Siblings
A,B-,72ac003adc121f048f311bc2a993f2b7,A-,224e2d1eb3e0bf569281829a054b657a,B,B,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,B-,Standard,914555dca72adc54144f3ca464553fe3,15,A-,Accelerated,A+,Accelerated,Spanish,Honors,Honors,No,7,0
B+,C+,05a6d59f91596c53dbadfc980e970b80,A,224e2d1eb3e0bf569281829a054b657a,MISSING,B+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,B+,Standard,914555dca72adc54144f3ca464553fe3,15,B+,Honors,A,Honors,Spanish,Honors,Honors,No,6,0
A-,MISSING,MISSING,A,224e2d1eb3e0bf569281829a054b657a,B+,B+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,B,Standard,914555dca72adc54144f3ca464553fe3,20,B,Honors,B+,Honors,Spanish,Accelerated,Honors,No,5,0
B,B,fbd711bc8ff930ec8d6ec7a345bedb5a,C,224e2d1eb3e0bf569281829a054b657a,D,C-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B,B,Standard,2a4cf78323ab2713c72c8b49b8bf5734,41,B+,Accelerated,B-,Accelerated,Spanish,Accelerated,Accelerated,No,2,1
A-,A-,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,B+,A-,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,A,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,7,B-,Accelerated,A,Honors,Spanish,Accelerated,Honors,No,1,0
A+,A,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,A+,A+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,A+,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,13,A-,Honors,A,Honors,French,Honors,Honors,No,10,0
A,B-,72ac003adc121f048f311bc2a993f2b7,A,224e2d1eb3e0bf569281829a054b657a,C,C,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B-,C,Standard,914555dca72adc54144f3ca464553fe3,12,A,Accelerated,C,Accelerated,Spanish,Accelerated,Accelerated,No,8,1
C+,B-,72ac003adc121f048f311bc2a993f2b7,B+,224e2d1eb3e0bf569281829a054b657a,B,B,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B+,A,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,11,B-,Honors,B,Accelerated,Spanish,Accelerated,Accelerated,No,8,1
B+,MISSING,MISSING,A+,224e2d1eb3e0bf569281829a054b657a,A,A,Accelerated,e7fe4d07bf3874c98ddf310611a92b37,A,A+,Accelerated,35f56104020eacfaf3a8e08f972767a4,9,B,Accelerated,A,Accelerated,Spanish,Honors,Honors,Yes,2,0
A,C,72ac003adc121f048f311bc2a993f2b7,C-,224e2d1eb3e0bf569281829a054b657a,C,D,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,B,A-,Standard,914555dca72adc54144f3ca464553fe3,21,A-,Accelerated,A-,Accelerated,Spanish,Accelerated,Accelerated,No,3,1
C,MISSING,MISSING,B-,224e2d1eb3e0bf569281829a054b657a,MISSING,C+,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,B-,Standard,8783596053641c2d85f4efe80ba2b30f,11,C+,CP,C,CP,French,Honors,Accelerated,No,10,1
B+,MISSING,MISSING,A-,224e2d1eb3e0bf569281829a054b657a,MISSING,A,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,B+,Standard,914555dca72adc54144f3ca464553fe3,12,B,Honors,B+,Honors,Spanish,Honors,Honors,No,MISSING,1
A,A,72ac003adc121f048f311bc2a993f2b7,A,224e2d1eb3e0bf569281829a054b657a,B,B-,Honors,749bdd00bd97b88f1215e62588c9a041,A-,B+,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,3,C,Honors,B-,AP,French,Honors,Honors,Yes,3,1
A,A,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,A+,A+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,A+,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,8,A,Honors,A,AP,Spanish,Honors,Honors,No,3,0
B+,B,05a6d59f91596c53dbadfc980e970b80,A,224e2d1eb3e0bf569281829a054b657a,MISSING,A,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,A-,Standard,8783596053641c2d85f4efe80ba2b30f,17,B+,Accelerated,A,Accelerated,Spanish,Accelerated,Accelerated,No,7,0
A+,A+,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,MISSING,A+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,A+,Advanced,78e0349d12faea14b85cc1bdcfc72fff,19,A+,Honors,A+,Honors,Spanish,Honors,Honors,No,6,1
A-,A-,05a6d59f91596c53dbadfc980e970b80,A,224e2d1eb3e0bf569281829a054b657a,MISSING,B,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,B-,Standard,914555dca72adc54144f3ca464553fe3,16,B,Accelerated,A+,Accelerated,French,Honors,Honors,No,10,2
B,MISSING,MISSING,A-,224e2d1eb3e0bf569281829a054b657a,MISSING,B,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,A,Standard,8783596053641c2d85f4efe80ba2b30f,11,B-,Accelerated,A-,Accelerated,Spanish,Accelerated,Accelerated,Yes,8,1
B,MISSING,MISSING,A+,224e2d1eb3e0bf569281829a054b657a,MISSING,B-,Advanced,fbd711bc8ff930ec8d6ec7a345bedb5a,MISSING,A-,Advanced,78e0349d12faea14b85cc1bdcfc72fff,7,B,Accelerated,B+,Honors,Spanish,Honors,Honors,No,1,2
A,A+,72ac003adc121f048f311bc2a993f2b7,A,224e2d1eb3e0bf569281829a054b657a,B+,B,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,A,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,15,B+,Accelerated,A-,Honors,Spanish,Honors,Accelerated,No,4,2
