CS Req Grade,7th CS Grade,7th CS Teacher,8th CS Grade,8th CS Teacher,PY Math Final Grade,PY Math Level,PY Math Teacher,PY Science Final Grade,PY Science Level,PY Science Teacher,PY Abs+Tardies,CY Math Q1,CY Math Level,CY Science Q1,CY Science Level,CY World Language,LP Boolean,Birth Month,Number of Siblings
A,A,72ac003adc121f048f311bc2a993f2b7,A,224e2d1eb3e0bf569281829a054b657a,B,Honors,749bdd00bd97b88f1215e62588c9a041,A-,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,3,C,Honors,B-,AP,French,Yes,3,1
N/A,,,,,,,,,,,,,,,,,,8,
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B+,Honors,A-,Honors,Spanish,No,5,0
MISSING,,,,,,,,,,,,,,,,,,,
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B+,Honors,A-,Honors,Spanish,No,2,0
IN PROGRESS,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
A,A,72ac003adc121f048f311bc2a993f2b7,A+,224e2d1eb3e0bf569281829a054b657a,A+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,8,A,Honors,A,AP,Spanish,No,3,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A+,Honors,A,AP,Spanish,No,11,0
N/A,,,,,,,,,,,,,,,,,,,
B-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,C,Accelerated,C,Accelerated,French,No,5,0
B+,B,05a6d59f91596c53dbadfc980e970b80,A,224e2d1eb3e0bf569281829a054b657a,MISSING,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,Standard,8783596053641c2d85f4efe80ba2b30f,17,B+,Accelerated,A,Accelerated,Spanish,No,7,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A+,Accelerated,A,Accelerated,Spanish,No,9,0
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A,Accelerated,B+,Accelerated,Spanish,No,5,1
IN PROGRESS,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
B+,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B+,Accelerated,A,Accelerated,Spanish,No,2,0
B,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B+,CP,A,CP,Spanish,No,1,1
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,Honors,B+,Accelerated,Spanish,No,4,0
IN PROGRESS,,,,,,,,,,,,,,,,,,,
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A,Honors,A-,AP,Spanish,No,5,0
N/A,,,,,,,,,,,,,,,,,,,
MISSING,,,,,,,,,,,,,,,,,,,
MISSING,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
A+,A+,05a6d59f91596c53dbadfc980e970b80,A+,224e2d1eb3e0bf569281829a054b657a,MISSING,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,MISSING,Advanced,78e0349d12faea14b85cc1bdcfc72fff,19,A+,Honors,A+,Honors,Spanish,No,6,1
A-,A-,05a6d59f91596c53dbadfc980e970b80,A,224e2d1eb3e0bf569281829a054b657a,MISSING,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,Standard,914555dca72adc54144f3ca464553fe3,16,B,Accelerated,A+,Accelerated,French,No,10,2
A,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B+,Accelerated,A,Accelerated,Spanish,No,10,0
B-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A-,Accelerated,A+,Accelerated,Spanish,Yes,9,2
N/A,,,,,,,,,,,,,,,,,,,
B,MISSING,MISSING,A-,224e2d1eb3e0bf569281829a054b657a,MISSING,Standard,a0b44aea6f8515d0a4475db5d1cd2dfb,MISSING,Standard,8783596053641c2d85f4efe80ba2b30f,11,B-,Accelerated,A-,Accelerated,Spanish,Yes,8,1
B,MISSING,MISSING,A+,224e2d1eb3e0bf569281829a054b657a,MISSING,Advanced,fbd711bc8ff930ec8d6ec7a345bedb5a,MISSING,Advanced,78e0349d12faea14b85cc1bdcfc72fff,7,B,Accelerated,B+,Honors,Spanish,No,1,2
A,A+,72ac003adc121f048f311bc2a993f2b7,A,224e2d1eb3e0bf569281829a054b657a,B+,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A,Advanced,36dcbf54d4ff3082f4d88e5d5fcf1cf9,15,B+,Accelerated,A-,Honors,Spanish,No,4,2
A-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,A+,Honors,A-,Honors,Spanish,No,1,0
A-,MISSING,MISSING,A+,224e2d1eb3e0bf569281829a054b657a,A,Advanced,b7b7d29a1473a4b7f1b430cbe427ce2b,A-,Standard,914555dca72adc54144f3ca464553fe3,13,B-,Honors,B+,Honors,French,No,1,0
A-,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,MISSING,B-,Honors,B-,Honors,Spanish,No,5,0
N/A,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
A-,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,
B-,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
MISSING,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
MISSING,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
A-,,,,,,,,,,,,,,,,,,,
MISSING,,,,,,,,,,,,,,,,,,,
MISSING,,,,,,,,,,,,,,,,,,,
A+,,,,,,,,,,,,,,,,,,,
C+,,,,,,,,,,,,,,,,,,,
A+,,,,,,,,,,,,,,,,,,,
A-,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
B-,,,,,,,,,,,,,,,,,,,
C+,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,
B+,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
C-,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
B-,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
B+,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,
A-,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,
D,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
B-,,,,,,,,,,,,,,,,,,,
A+,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
IN PROGRESS,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
C+,,,,,,,,,,,,,,,,,,,
A,,,,,,,,,,,,,,,,,,,
N/A,,,,,,,,,,,,,,,,,,,
B+,,,,,,,,,,,,,,,,,,,
B,,,,,,,,,,,,,,,,,,,
C,,,,,,,,,,,,,,,,,,,
